ID;Name;Ort;Straﬂe;Hausnummer;PLZ;Bundesland;lat;lon;Thematik;Angeschlossenen_EW;GK;Ausbaugrˆﬂe_EW;System;Einleitgew‰sser;Jahresabwassermenge_in_m3;Jahresschmutzwassermenge_in_m3;Fremdwasseranteil_in_prozent;Fl‰chenanteil_Mischsystem_in_prozent;Besondere_industrielle_Einleiter
KAM_HE_KHN;Kirchhain;Kirchhain;Am Am√∂neburgerTor;30;35274;HE;50.815.829;8.915.578;Kl‰ranlage;30698;4b;99000;MS;Ohm;2088671;2699137;;68,35;Lebensmittel (S¸ﬂwaren), Metall (Eisengieﬂerei, Beschl‰ge), F‰rberei Stoffe, Tapetenfabrik
KAM_BY_KHL;Kirchhaslach;Kirchhaslach;Industriegebiet;21;87755;BY;48.159.848;10.307.332;Kl‰ranlage;1017;5b;1500;TS;Haselbach;49000;49000;;98;keine
KAM_NW_KRE;Krefeld;Krefeld;Parkstra√üe;234;47829;NW;5.137.804;6.634.779;Kl‰ranlage;236542;5b;1200000;MS;Rhein;29443577;21994940;62,5;25,5;Brauerei
KAM_NI_LAM;Lamspringe;Bad Salzdetfurth √ñstrum;Zuckerfabrik/Bergm√ºhle;12;31162;NI;51.970.583;10.021.717;Kl‰ranlage;3523;5b;4950;MS;Lamme;397464;223378;36;100;Galvanikbetrieb, Molkereiabwasser, AOX von M¸lldeponie, vorbeh. Sickerwasser mit A-Kohle
KAM_BY_LAL;Landsberg/Lech;Landsberg am Lech;Dr. Friedrich Wacker Stra√üe;1;86899;BY;48.065.748;10.873.992;Kl‰ranlage;46000;4b;64000;MS;Lech;4647000;388000;12;95;keine
KAM_BY_LAU;Lauterhofen;Lauterhofen;Brunner Stra√üe/Marktplatz;11;92283;BY;49.375.737;11.614.735;Kl‰ranlage;3134;4b;3800;MS;Lauterach;401676;185192;10;59;keine
KAM_RP_MNZ;Mainz;Mainz (Mombach);Industriestra√üe;70;55120;RP;50.027.435;8.217.004;Kl‰ranlage;208570;4b;400000;MS;Rhein;21222659;;30,9;0;Brauerei, Groﬂschlachterei, groﬂer Tortenhersteller, H‰uteverarbeitung
KAM_HE_MAR;Marburg-Cappel;Marburg;Umgehungsstra√üe;47;35043;HE;50.767.417;8.758.444;Kl‰ranlage;77064;4a;155000;MS;Lahn;9006756;7104110;30,1;45;Klinikum, Pharmaindustrie, Uni
KAM_SN_MKB;Markkleeberg (Leipzig);Markkleeberg;Am Wolfswinkel;2;4416;SN;51.293.145;12.355.724;Kl‰ranlage;28000;1 bis 3;30000;MS;Augraben;1792301;1505040;;10;Herstellung k¸nstlicher Lab- und Gelatine-Fabrik (Anteil ca. 40% Gesamtabwasser)
KAM_NW_MRL;Marl-Lenkerbeck;Marl;H√ºlsbergstra√üe;247;45772;NW;51.669.391;7.153.324;Kl‰ranlage;20244;4a;30000;MS;Lippe;2039620;;68,9;30;Sojaverarbeitung (Sojamilch, Jogurt)
KAM_BW_NAG;Nagold;Nagold;Calwer Stra√üe;151;72202;BW;48.567.617;8.717.477;Kl‰ranlage;39871;4b;65000;MS;Nagold;7738835;1633532;13;72;Kartonfabrik, Groﬂw‰scherei
KAM_BB_NRP;Neuruppin;Neuruppin;Am Eichenhain;5;16816;BB;52.950.412;12.815.753;Kl‰ranlage;31757;5b;44000;TS;Landwehrgraben + Rieselfelder;1665860;1354967;;3;4 Krankenh‰user, Kupferverarbeiter (mit Vorbehandlung), Speisehersteller (mit Fettabscheider)
KAM_NI_NIE;Nienburg;Nienburg;Marschstra√üe;5;31582;NI;52.653.213;9.207.132;Kl‰ranlage;32000;1 bis 3;160000;MS;Weser;2785588;2288488;32;84;keine
KAM_NW_NHB;N√ºmbrecht Homburg-Br√∂l;N√ºmbrecht;Homburgerstra√üe;1A;51588;NW;50.913.506;7.523.802;Kl‰ranlage;19347;4a;33000;MS;Br√∂l;3355274;2036817;13,6;87;keine
KAM_NI_OSN;Osnabr√ºck-Eversberg;Osnabr√ºck;Kl√∂cknerstra√üe;6;49090;NI;52.298.223;801.812;Kl‰ranlage;148388;4b;250000;TS;Hase;18730927;16178227;;72,2;Deponiesickerwasser nach Vorbehandlung
KAM_SN_REI;Reichenbach;Reichenbach;√ñhlischer Weg;4;2894;SN;51.136.372;14.764.276;Kl‰ranlage;4681;4b;8000;TS;Schwarzer Sch√∂ps;259323;211989;28;91;Brauerei
KAM_NW_ROE;R√∂srath;R√∂srath;Hans B√∂ckler Stra√üe;19-21;51503;NW;5.088.551;7.184.716;Kl‰ranlage;27309;5b;35833;MS;S√ºlz;3607532;2368047;;54;keine
KAM_BE_RUH;Ruhleben;Berlin-Spandau;Freiheit;17;13597;BE;52.530.221;13.230.732;Kl‰ranlage;1300000;5b;1600000;MS;Ruhlebener Altarm/Spree;85762972;77877689;;5;Papierfabriken, Kaffeeverarbeitung, Molkerei, Salatherstellung, Arzneimittelherstellung
KAM_BE_SLN;Sch√∂nerlinde;Berlin-Wandlitz;M√ºhlenbeckerstra√üe;8E;16348;BE;52.661.164;13.415.555;Kl‰ranlage;800000;4b;840000;MS;Blankenfelder Graben;41637926;38593741;6,1;62;Lebensmittel, Brauerei
KAM_MV_SWR;Schwerin;Schwerin;Carl von Linde Stra√üe;6;19061;MV;53.576.729;1.140.133;Kl‰ranlage;125171;4b;200000;MS;Schwarzer Graben ;7202343;6441537;18;92;keine
KAM_BW_STR;Stuttgart-M√ºhlhausen;Stuttgart;Aldingerstra√üe;212;70378;BW;48.847.707;924.303;Kl‰ranlage;1200000;5b;1200000;MS;Neckar;59375306;34730057;25,7;100;Edelstahlwerke, Mais verarbeitende Industrie, Fruchtsaftherstellung
KAM_BY_TRA;Traunstein;Traunstein;Empfing;24;83278;BY;47.886.509;12.639.719;Kl‰ranlage;33000;4b;99000;MS;Traun;5332000;1257000;52,3;81;keine
KAM_BW_WAL;Waldangelbachtal;Angelbachtal;M√ºhlstra√üe;23;74918;BW;49.239.991;8.763.746;Kl‰ranlage;11863;5b;16000;MS;Waldangelbach;1302515;372981;;0;keine
KAM_NW_WEV;Wevelinghoven;Grevenbroich;An der Unterm√ºhle;95;41516;NW;51.123.186;6.630.759;Kl‰ranlage;24500;5b;27000;MS;Erft;1813668;;;80;Schule, Metall- und Elektrobetriebe, Seniorenwohnanlage, ‹bernachtungen
