ID;Name;Ort;Straße;Hausnummer;PLZ;Bundesland;lat;lon;Thematik;Angeschlossenen_EW;GK;Ausbaugröße_EW;System;Einleitgewässer;Jahresabwassermenge_in_m3;Jahresschmutzwassermenge_in_m3;Fremdwasseranteil_in_prozent;Flächenanteil_Mischsystem_in_prozent;Besondere_industrielle_Einleiter
KAM_NW_KRE;Krefeld;Krefeld;Parkstraße;234;47829;NW;51,37804;6,634779;Kläranlage;236542;5b;1200000;MS;Rhein;29443577;21994940;62,5;25,5;Brauerei
KAM_NI_LAM;Lamspringe;Bad Salzdetfurth Ã–strum;Zuckerfabrik/Bergmühle;12;31162;NI;51,970583;10,021717;Kläranlage;3523;5b;4950;MS;Lamme;397464;223378;36;100;Galvanikbetrieb, Molkereiabwasser, AOX von Mülldeponie, vorbeh. Sickerwasser mit A-Kohle
KAM_BY_LAL;Landsberg/Lech;Landsberg am Lech;Dr. Friedrich Wacker Straße;1;86899;BY;48,065748;10,873992;Kläranlage;46000;4b;64000;MS;Lech;4647000;388000;12;95;keine
KAM_BY_LAU;Lauterhofen;Lauterhofen;Brunner Straße/Marktplatz;11;92283;BY;49,375737;11,614735;Kläranlage;3134;4b;3800;MS;Lauterach;401676;185192;10;59;keine
KAM_RP_MNZ;Mainz;Mainz (Mombach);Industriestraße;70;55120;RP;50,027435;8,217004;Kläranlage;208570;4b;400000;MS;Rhein;21222659;;30,9;0;Brauerei, Großschlachterei, großer Tortenhersteller, Häuteverarbeitung
KAM_HE_MAR;Marburg-Cappel;Marburg;Umgehungsstraße;47;35043;HE;50,767417;8,758444;Kläranlage;77064;4a;155000;MS;Lahn;9006756;7104110;30,1;45;Klinikum, Pharmaindustrie, Uni
KAM_SN_MKB;Markkleeberg (Leipzig);Markkleeberg;Am Wolfswinkel;2;4416;SN;51,293145;12,355724;Kläranlage;28000;1 bis 3;30000;MS;Augraben;1792301;1505040;;10;Herstellung künstlicher Lab- und Gelatine-Fabrik (Anteil ca. 40% Gesamtabwasser)
KAM_NW_MRL;Marl-Lenkerbeck;Marl;Hülsbergstraße;247;45772;NW;51,669391;7,153324;Kläranlage;20244;4a;30000;MS;Lippe;2039620;;68,9;30;Sojaverarbeitung (Sojamilch, Jogurt)
KAM_BW_NAG;Nagold;Nagold;Calwer Straße;151;72202;BW;48,567617;8,717477;Kläranlage;39871;4b;65000;MS;Nagold;7738835;1633532;13;72;Kartonfabrik, Großwäscherei
KAM_BB_NRP;Neuruppin;Neuruppin;Am Eichenhain;5;16816;BB;52,950412;12,815753;Kläranlage;31757;5b;44000;TS;Landwehrgraben + Rieselfelder;1665860;1354967;;3;4 Krankenhäuser, Kupferverarbeiter (mit Vorbehandlung), Speisehersteller (mit Fettabscheider)
KAM_NI_NIE;Nienburg;Nienburg;Marschstraße;5;31582;NI;52,653213;9,207132;Kläranlage;32000;1 bis 3;160000;MS;Weser;2785588;2288488;32;84;keine
KAM_NW_NHB;Nümbrecht Homburg-Bröl;Nümbrecht;Homburgerstraße;1A;51588;NW;50,913506;7,523802;Kläranlage;19347;4a;33000;MS;BrÃ¶l;3355274;2036817;13,6;87;keine
KAM_NI_OSN;Osnabrück-Eversberg;Osnabrück;Klöcknerstraße;6;49090;NI;52,298223;8,01812;Kläranlage;148388;4b;250000;TS;Hase;18730927;16178227;;72,2;Deponiesickerwasser nach Vorbehandlung
KAM_SN_REI;Reichenbach;Reichenbach;Ã–hlischer Weg;4;2894;SN;51,136372;14,764276;Kläranlage;4681;4b;8000;TS;Schwarzer SchÃ¶ps;259323;211989;28;91;Brauerei
KAM_NW_ROE;Rösrath;Rösrath;Hans Böckler Straße;19-21;51503;NW;50,88551;7,184716;Kläranlage;27309;5b;35833;MS;Sülz;3607532;2368047;;54;keine
KAM_BE_RUH;Ruhleben;Berlin-Spandau;Freiheit;17;13597;BE;52,530221;13,230732;Kläranlage;1300000;5b;1600000;MS;Ruhlebener Altarm/Spree;85762972;77877689;;5;Papierfabriken, Kaffeeverarbeitung, Molkerei, Salatherstellung, Arzneimittelherstellung
KAM_BE_SLN;Schönerlinde;Berlin-Wandlitz;Mühlenbeckerstraße;8E;16348;BE;52,661164;13,415555;Kläranlage;800000;4b;840000;MS;Blankenfelder Graben;41637926;38593741;6,1;62;Lebensmittel, Brauerei
KAM_MV_SWR;Schwerin;Schwerin;Carl von Linde Straße;6;19061;MV;53,576729;11,40133;Kläranlage;125171;4b;200000;MS;Schwarzer Graben ;7202343;6441537;18;92;keine
KAM_BW_STR;Stuttgart-Mühlhausen;Stuttgart;Aldingerstraße;212;70378;BW;48,847707;9,24303;Kläranlage;1200000;5b;1200000;MS;Neckar;59375306;34730057;25,7;100;Edelstahlwerke, Mais verarbeitende Industrie, Fruchtsaftherstellung
KAM_BY_TRA;Traunstein;Traunstein;Empfing;24;83278;BY;47,886509;12,639719;Kläranlage;33000;4b;99000;MS;Traun;5332000;1257000;52,3;81;keine
KAM_BW_WAL;Waldangelbachtal;Angelbachtal;Mühlstraße;23;74918;BW;49,239991;8,763746;Kläranlage;11863;5b;16000;MS;Waldangelbach;1302515;372981;;0;keine
KAM_NW_WEV;Wevelinghoven;Grevenbroich;An der Untermühle;95;41516;NW;51,123186;6,630759;Kläranlage;24500;5b;27000;MS;Erft;1813668;;;80;Schule, Metall- und Elektrobetriebe, Seniorenwohnanlage, Übernachtungen
